fileName                                  ,PHP70            ,PHP71            ,PHP72            ,PHP73            ,PHP74            ,PHP80            ,PHP81

ArrayKeyExistsExpectsArrayNullGiven.php   ,E_WARNING        ,E_WARNING        ,E_WARNING        ,E_WARNING        ,E_WARNING        ,TypeError        ,TypeError
FunctionArgumentTypeMismatched.php        ,TypeError        ,TypeError        ,TypeError        ,TypeError        ,TypeError        ,TypeError        ,TypeError
RedefinitionOfParameterInsideEval.php     ,ParseError       ,ParseError       ,ParseError       ,ParseError       ,ParseError       ,ParseError       ,ParseError
SyntaxError.php                           ,ParseError       ,ParseError       ,ParseError       ,ParseError       ,ParseError       ,ParseError       ,ParseError
TriggerEUserDeprecated.php                ,E_USER_DEPRECATED,E_USER_DEPRECATED,E_USER_DEPRECATED,E_USER_DEPRECATED,E_USER_DEPRECATED,E_USER_DEPRECATED,E_USER_DEPRECATED
TriggerEUserError.php                     ,E_USER_ERROR     ,E_USER_ERROR     ,E_USER_ERROR     ,E_USER_ERROR     ,E_USER_ERROR     ,E_USER_ERROR     ,E_USER_ERROR
TriggerEUserNotice.php                    ,E_USER_NOTICE    ,E_USER_NOTICE    ,E_USER_NOTICE    ,E_USER_NOTICE    ,E_USER_NOTICE    ,E_USER_NOTICE    ,E_USER_NOTICE
TriggerEUserWarning.php                   ,E_USER_WARNING   ,E_USER_WARNING   ,E_USER_WARNING   ,E_USER_WARNING   ,E_USER_WARNING   ,E_USER_WARNING   ,E_USER_WARNING
TryingToAccessArrayOffsetOnValueOfType.php,NULL             ,NULL             ,NULL             ,NULL             ,E_NOTICE         ,E_WARNING        ,E_WARNING
TryingToGetPropertyOfNonObject.php        ,E_NOTICE         ,E_NOTICE         ,E_NOTICE         ,E_NOTICE         ,E_NOTICE         ,E_WARNING        ,E_WARNING
UndefinedVariable.php                     ,E_NOTICE         ,E_NOTICE         ,E_NOTICE         ,E_NOTICE         ,E_NOTICE         ,E_WARNING        ,E_WARNING

# TBD
# E_PARSE
# E_CORE_ERROR
# E_CORE_WARNING
# E_COMPILE_ERROR
# E_COMPILE_WARNING
# E_RECOVERABLE_ERROR
# E_DEPRECATED
